process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-indep_corr-1-fold_2-full	9.8s	97.4%	0.3%	552.7 MB	552.7 MB	1.7 GB	10.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-1-fold_2-null	9.8s	99.9%	0.3%	552.6 MB	552.6 MB	1.7 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0-fold_2	9.5s	100.0%	0.3%	553.2 MB	553.2 MB	1.6 GB	9.9s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0-fold_1	9.4s	99.1%	0.3%	552.5 MB	552.5 MB	1.6 GB	9.8s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_2	1.3s	147.9%	0.0%	5.1 MB	5.1 MB	89.6 MB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_1-full	10.8s	96.9%	0.3%	552.2 MB	552.2 MB	1.7 GB	11.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_2-diablo-null	3.5s	109.5%	0.1%	224.3 MB	224.3 MB	1.2 GB	4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0-fold_2-diablo-null	3.3s	105.4%	0.1%	219.2 MB	219.2 MB	1.2 GB	3.7s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE71669-fold_1-diablo-null	3.9s	131.6%	0.2%	303 MB	303 MB	1.5 GB	4.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE71669-fold_2-diablo-null	4s	119.6%	0.2%	302 MB	302 MB	1.5 GB	4.4s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_effect-2_sigma-indep_corr-0-fold_1	10.4s	96.4%	0.3%	609.9 MB	609.9 MB	1.7 GB	10.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-kipan-fold_1-diablo-null	5s	114.5%	0.2%	321.3 MB	321.3 MB	1.4 GB	5.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-0-fold_1-diablo-full	4.3s	103.0%	0.1%	249.1 MB	249.1 MB	1.5 GB	4.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_1-full	10.8s	103.7%	0.3%	552.5 MB	552.5 MB	1.7 GB	11.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_2-null	10.7s	98.2%	0.3%	552.4 MB	552.4 MB	1.7 GB	11.2s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_2	9.2s	109.0%	0.3%	643.1 MB	643.1 MB	1.7 GB	9.5s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_1	1.4s	149.5%	0.0%	85.9 MB	85.9 MB	1.2 GB	2s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-thca-fold_1-diablo-full	5.8s	117.8%	0.3%	513.2 MB	529.7 MB	1.7 GB	6.4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-thca-fold_2-diablo-null	5.9s	121.6%	0.2%	438.7 MB	438.7 MB	1.6 GB	6.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-blca-fold_2-null	24.1s	115.1%	0.6%	1.2 GB	1.2 GB	2.3 GB	24.5s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_1	1.5s	153.8%	0.1%	122.9 MB	122.9 MB	1.3 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-def_corr-1-fold_1-null	11.1s	100.8%	0.3%	552.7 MB	552.7 MB	1.7 GB	11.6s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-def_corr-1-fold_2-full	10.8s	100.3%	0.3%	552.5 MB	552.5 MB	1.7 GB	11.2s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0-fold_2	1.4s	160.1%	0.1%	109.1 MB	136.6 MB	1.3 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-1-fold_2-diablo-null	3.3s	109.5%	0.1%	245.7 MB	245.7 MB	1.3 GB	3.7s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-blca-fold_2	9.6s	105.8%	0.3%	596.9 MB	596.9 MB	1.7 GB	10s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0-fold_1	1.5s	132.4%	0.1%	109.1 MB	130.6 MB	1.3 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-blca-fold_1	10.1s	102.8%	0.3%	669.2 MB	669.2 MB	1.8 GB	10.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_1-diablo-full	3.2s	103.1%	0.1%	243.9 MB	243.9 MB	1.3 GB	3.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_2	1.4s	139.6%	0.0%	5.1 MB	5.1 MB	92.5 MB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_1-diablo-full	3.5s	120.0%	0.1%	244 MB	244 MB	1.3 GB	3.9s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_2-diablo-null	3.5s	125.3%	0.1%	205.4 MB	205.4 MB	1.2 GB	4.1s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-blca-fold_2	1.5s	144.0%	0.1%	129.4 MB	129.4 MB	1.3 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-1-fold_1-diablo-null	3.6s	114.2%	0.1%	249.2 MB	249.2 MB	1.5 GB	4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-1-fold_2-diablo-full	3.3s	125.0%	0.1%	244 MB	244 MB	1.3 GB	3.7s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-blca-fold_1	1.6s	122.4%	0.0%	36.8 MB	36.8 MB	1 GB	2.1s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-blca-fold_2-diablo-null	7s	128.3%	0.3%	529.8 MB	529.8 MB	1.7 GB	7.4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_2-full	10.5s	112.2%	0.3%	616 MB	616 MB	1.7 GB	11s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	rosmap-fold_2-full	9.9s	107.0%	0.3%	661.3 MB	663.2 MB	1.9 GB	10.3s	1 GB
